"year","income","value"
2020,"HIC",649206291347.786
2020,"UMC",768362625328.995
2020,"LMC",519015811266.104
2020,"LIC",88410443580.7699
2020,"unclassified",9004363099.89888
2030,"HIC",706347642345.507
2030,"UMC",989045985278.856
2030,"LMC",706124945324.781
2030,"LIC",127664849486.392
2030,"unclassified",12410863966.7405
2040,"HIC",745902046942.06
2040,"UMC",1153609196221.27
2040,"LMC",932185430420.25
2040,"LIC",182599026126.755
2040,"unclassified",15175920650.2195
2050,"HIC",767165522120.386
2050,"UMC",1270516515183.36
2050,"LMC",1198452023651.25
2050,"LIC",262974260268.294
2050,"unclassified",17873089123.9834
